"location","year","labor_health_FTE","labor_health_HRS","labor_health_JOB","labor_health_PER","labor_total_FTE","labor_total_HRS","labor_total_JOB","labor_total_PER","labor_health_per_capita","labor_total_per_capita","labor_health_share_PER","labor_health_share_FTE","labor_health_share_JOB"
"CZE",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",1995,NA,459.886,245.277,249.797,NA,9485.596,5101.368,5105.543,24.1799271476568,494.207927994448,0.0489266273930119,NA,0.0480806324891676
"CZE",1996,NA,426.428,227.323,231.756,NA,9507.409,5114.138,5131.991,22.4670934673782,497.509973725572,0.045159081533853,NA,0.0444499151176601
"CZE",1997,NA,407.73,216.985,220.628,NA,9467.138,5087.464,5095.985,21.4126228376335,494.580945261879,0.0432944759452785,NA,0.0426509160556222
"CZE",1998,NA,396.996,210.175,213.037,NA,9401.341,5017.228,5007.586,20.6933637223635,486.412212287139,0.0425428539819386,NA,0.0418906615366095
"CZE",1999,NA,402.623,211.149,213.945,NA,9277.752,4911.491,4899.702,20.806135770235,476.495664987225,0.0436649004368021,NA,0.0429908148055244
"CZE",2000,NA,413.494,216.538,219.645,NA,9211.181,4865.213,4859.341,21.3818384866863,473.043522109461,0.0452005734934017,NA,0.0445074038896139
"CZE",2001,NA,383.892,210.822,213.669,NA,8812.267,4862.057,4846.39,20.8983751478845,474.012029508053,0.0440882801425391,NA,0.0433606599017659
"CZE",2002,NA,395.531,219.961,221.522,NA,8858.995,4923.497,4876.774,21.7161952612615,478.078820293441,0.0454238806227231,NA,0.0446757660256521
"CZE",2003,NA,390.285,218.271,220.804,NA,8738.62,4861.073,4838.058,21.6439476316137,474.242649547608,0.0456389733235939,NA,0.0449018148873716
"CZE",2004,NA,380.163,211.102,213.319,NA,8774.388,4855.542,4828.886,20.8994424666474,473.099091665529,0.04417561317455,NA,0.0434765058154167
"CZE",2005,NA,392.545,216.398,219.565,NA,8944.379,4929.086,4922.64,21.4542726408948,481.004079306694,0.0446030991500496,NA,0.0439022569295809
"CZE",2006,NA,400.3,220.109,225.502,NA,8976.007,4949.217,4988.977,21.9645247337836,485.940296373324,0.0452000480258779,NA,0.0444734995454837
"CZE",2007,NA,399.736,220.354,226.304,NA,9088.018,5046.508,5093.143,21.9229698773256,493.393049039838,0.0444330740369944,NA,0.0436646489017753
"CZE",2008,NA,419.719,230.795,236.754,NA,9312.906,5162.363,5204.079,22.6999991946071,498.967658872381,0.0454939288969287,NA,0.0447072396884915
"CZE",2009,NA,420.045,234.65,238.621,NA,9089.677,5067.397,5110.1,22.7442388556365,487.07085703349,0.0466959550693724,NA,0.0463058252590038
"CZE",2010,NA,412.017,229.149,232.846,NA,9100.506,5021.332,5057.241,22.1394439058054,480.85216597081,0.0460421008213767,NA,0.0456351023991244
"CZE",2011,NA,428.965,235.183,238.597,NA,9106.553,5015.928,5043.438,22.7307283680008,480.479717761973,0.0473084035136349,NA,0.0468872360209317
"CZE",2012,NA,416.863,235.964,240.084,NA,8995.395,5020.656,5064.623,22.8449392280313,481.918847769487,0.0474041207015804,NA,0.0469986392216475
"CZE",2013,NA,412.858,236.759,241.267,NA,8957.704,5024.664,5080.93,22.9543763847174,483.404608190934,0.0474848108515567,NA,0.0471193695737665
"CZE",2014,NA,424.322,242.242,246.741,NA,9077.299,5057.7,5108.967,23.4438087702141,485.42254980459,0.0482956730783346,NA,0.0478956838088459
"CZE",2015,NA,428.498,244.288,249.055,NA,9100.268,5124.002,5181.913,23.6229128453898,491.505407124501,0.0480623661570544,NA,0.0476752350994398
"CZE",2016,NA,441.374,249.884,255.243,NA,9362.692,5188.078,5264.301,24.1586501602796,498.264031520591,0.0484856394039778,NA,0.04816504300822
"CZE",2017,NA,458.249,256.614,262.972,NA,9539.403,5250.485,5346.092,24.8332172752586,504.847148021545,0.0491895762362488,NA,0.0488743420845884
"CZE",2018,NA,466.503,261.38,267.777,NA,9680.523,5320.012,5418.117,25.1991496673859,509.871800783518,0.0494225207761294,NA,0.049131468124508
"DEU",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",1995,NA,3153,NA,2158,NA,58226,NA,38042,26.5410537708467,467.875239828799,0.0567267756689974,NA,NA
"DEU",1996,NA,3248,NA,2255,NA,57723,NA,38057,27.6802592492574,467.151940686912,0.0592532254250204,NA,NA
"DEU",1997,NA,3285,NA,2302,NA,57352,NA,38040,28.2419335050914,466.691203533309,0.060515247108307,NA,NA
"DEU",1998,NA,3336,NA,2353,NA,57918,NA,38495,28.8903076885298,472.644451538443,0.0611248214053773,NA,NA
"DEU",1999,NA,3408,NA,2413,NA,58348,NA,39120,29.6357249883324,480.459826582496,0.0616820040899796,NA,NA
"DEU",2000,NA,3457,NA,2481,NA,58595,NA,39971,30.4577875443486,490.70061504843,0.0620700007505441,NA,NA
"DEU",2001,NA,3438,NA,2478,NA,58121,NA,39859,30.3985671700382,488.965491860593,0.0621691462404978,NA,NA
"DEU",2002,NA,3530,NA,2554,NA,57473,NA,39666,31.3074603447008,486.234033685552,0.0643876367670045,NA,NA
"DEU",2003,NA,3560,NA,2578,NA,56635,NA,39237,31.6128953144735,481.146304675716,0.0657032902617427,NA,NA
"DEU",2004,NA,3604,NA,2619,NA,56783,NA,39362,32.1523276370065,483.230210174818,0.0665362532391647,NA,NA
"DEU",2005,NA,3590,NA,2620,NA,56310,NA,39311,32.2116625889816,483.310178639488,0.0666480120068174,NA,NA
"DEU",2006,NA,3659,NA,2611,NA,57539,NA,39595,32.1658679610215,487.78534734456,0.0659426695289809,NA,NA
"DEU",2007,NA,3730,NA,2631,NA,58559,NA,40272,32.4846898459107,497.23429474516,0.0653307508939213,NA,NA
"DEU",2008,NA,3742,NA,2671,NA,59106,NA,40838,33.0716655935813,505.646079936605,0.0654047700670944,NA,NA
"DEU",2009,NA,3750,NA,2723,NA,57471,NA,40903,33.8332318626294,508.219127020613,0.0665721340732954,NA,NA
"DEU",2010,NA,3889,NA,2774,NA,58524,NA,41048,34.5523391958547,511.284938468437,0.067579419216527,NA,NA
"DEU",2011,NA,3926,NA,2811,NA,59279,NA,41544,35.0171286203675,517.521021488633,0.0676632004621606,NA,NA
"DEU",2012,NA,3974,NA,2869,NA,59162,NA,42019,35.6725437047721,522.455424862607,0.0682786358552084,NA,NA
"DEU",2013,NA,4007,NA,2915,NA,59140,NA,42350,36.1456240855095,525.134538600798,0.0688311688311688,NA,NA
"DEU",2014,NA,4131,NA,2989,NA,59827,NA,42721,36.9089808972253,527.530469357766,0.0699655906931018,NA,NA
"DEU",2015,NA,4246,NA,3079,NA,60405,NA,43122,37.692656114192,527.893055198502,0.0714020685496962,NA,NA
"DEU",2016,NA,4318,NA,3150,NA,60888,NA,43655,38.2518306233227,530.12179868608,0.0721566830832665,NA,NA
"DEU",2017,NA,4373,NA,3187,NA,61564,NA,44248,38.5569280278742,535.320662496824,0.0720258542758995,NA,NA
"DEU",2018,NA,NA,NA,NA,NA,62344,NA,44854,NA,541.022362675802,NA,NA,NA
"DEW",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEW",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",1970,NA,142.819,NA,86,NA,4449.231,NA,2411,17.4159578776833,488.254353989469,0.0356698465367068,NA,NA
"DNK",1971,NA,155.087,NA,96,NA,4361.538,NA,2410,19.3431392303042,485.593391094096,0.0398340248962656,NA,NA
"DNK",1972,NA,162.137,NA,105,NA,4304.325,NA,2457,21.0336538461538,492.1875,0.0427350427350427,NA,NA
"DNK",1973,NA,160.1,NA,107,NA,4248.746,NA,2485,21.3062524890482,494.822779769016,0.0430583501006036,NA,NA
"DNK",1974,NA,169.878,NA,115,NA,4174.298,NA,2468,22.794846382557,489.197224975223,0.0465964343598055,NA,NA
"DNK",1975,NA,167.622,NA,120,NA,3951.117,NA,2444,23.7154150197628,483.00395256917,0.0490998363338789,NA,NA
"DNK",1976,NA,175.273,NA,125,NA,4036.1,NA,2486,24.6402523161837,490.045338064262,0.0502815768302494,NA,NA
"DNK",1977,NA,169.153,NA,123,NA,3964.626,NA,2480,24.1697779524465,487.325604244449,0.0495967741935484,NA,NA
"DNK",1978,NA,168.684,NA,124,NA,3939.905,NA,2501,24.2899118511263,489.911851126347,0.0495801679328269,NA,NA
"DNK",1979,NA,172.79,NA,128,NA,3956.147,NA,2530,25.009769441188,494.333724110981,0.0505928853754941,NA,NA
"DNK",1980,NA,185.576,NA,132,NA,3967.63,NA,2515,25.7611241217799,490.827478532397,0.0524850894632207,NA,NA
"DNK",1981,NA,183.322,NA,133,NA,3828.505,NA,2476,25.9664193674346,483.404919953143,0.0537156704361874,NA,NA
"DNK",1982,NA,196.313,NA,142,NA,3861.797,NA,2487,27.7452129738179,485.932004689332,0.0570969039002815,NA,NA
"DNK",1983,NA,196.332,NA,142,NA,3847.425,NA,2489,27.7669143527571,486.703167774736,0.0570510245078345,NA,NA
"DNK",1984,NA,189.316,NA,138,NA,3890.12,NA,2525,27.0005869692819,494.032478966934,0.0546534653465347,NA,NA
"DNK",1985,NA,193.148,NA,141,NA,3946.072,NA,2583,27.5767651085468,505.182867201252,0.0545876887340302,NA,NA
"DNK",1986,NA,191.826,NA,140,NA,4051.754,NA,2647,27.34375,516.9921875,0.0528900642236494,NA,NA
"DNK",1987,NA,191.181,NA,139,NA,3981.2,NA,2667,27.1113711722255,520.187244002341,0.0521184851893513,NA,NA
"DNK",1988,NA,192.865,NA,147,NA,3904.043,NA,2654,28.6549707602339,517.348927875244,0.0553880934438583,NA,NA
"DNK",1989,NA,188.333,NA,145,NA,3848.664,NA,2645,28.2540919719408,515.39360872954,0.054820415879017,NA,NA
"DNK",1990,NA,195.453,NA,153,NA,3794.406,NA,2634,29.7665369649805,512.451361867704,0.0580865603644647,NA,NA
"DNK",1991,NA,195.362,NA,153,NA,3749.284,NA,2609,29.685681024447,506.208769887466,0.0586431582981985,NA,NA
"DNK",1992,NA,200.629,NA,159,NA,3757.955,NA,2587,30.7484045639141,500.290079288339,0.0614611519134132,NA,NA
"DNK",1993,NA,200.498,NA,157,NA,3687.905,NA,2545,30.2563114280208,490.460589709,0.0616895874263261,NA,NA
"DNK",1994,NA,194.841,NA,161,NA,3651.441,NA,2596,30.9258547829428,498.655397618133,0.0620184899845917,NA,NA
"DNK",1995,NA,194.411,NA,164,NA,3706.831,NA,2612,31.357552581262,499.42638623327,0.0627871362940276,NA,NA
"DNK",1996,NA,190.317,NA,163,NA,3725.51,NA,2638,30.9768148992778,501.330292664386,0.0617892342683851,NA,NA
"DNK",1997,NA,193.658,NA,162,NA,3819.311,NA,2674,30.6527909176916,505.960264900662,0.0605833956619297,NA,NA
"DNK",1998,NA,195.809,NA,161,NA,3908.531,NA,2712,30.3601734867056,511.408636620781,0.0593657817109145,NA,NA
"DNK",1999,NA,199.929,NA,164,NA,3983.185,NA,2735,30.8212741965796,514.001127607592,0.059963436928702,NA,NA
"DNK",2000,NA,197.447,NA,164,NA,4038.877,NA,2755,30.7231172723867,516.11090295991,0.0595281306715063,NA,NA
"DNK",2001,NA,200.606,NA,167,NA,4086.55,NA,2782,31.1741646443905,519.320515213739,0.0600287562904385,NA,NA
"DNK",2002,NA,203.291,NA,168,NA,4072.128,NA,2784,31.25,517.857142857143,0.0603448275862069,NA,NA
"DNK",2003,NA,212.69,NA,171,NA,4021.64,NA,2759,31.7254174397032,511.873840445269,0.06197897789054,NA,NA
"DNK",2004,NA,214.971,NA,170,NA,4001.178,NA,2744,31.4640014806589,507.866000370165,0.0619533527696793,NA,NA
"DNK",2005,NA,223.471,NA,173,NA,4039.378,NA,2783,31.9247093559697,513.563388078981,0.0621631333093784,NA,NA
"DNK",2006,NA,239.226,NA,176,NA,4142.84,NA,2846,32.3707927165716,523.450432223653,0.061841180604357,NA,NA
"DNK",2007,NA,254.534,NA,183,NA,4172.813,NA,2912,33.5164835164835,533.333333333333,0.0628434065934066,NA,NA
"DNK",2008,NA,256.835,NA,185,NA,4214.185,NA,2947,33.6792281085017,536.501001274349,0.0627757041058704,NA,NA
"DNK",2009,NA,266.794,NA,193,NA,4044.695,NA,2854,34.9447763896433,516.74814412457,0.0676243868255081,NA,NA
"DNK",2010,NA,271.575,NA,196,NA,3965.191,NA,2788,35.3344149990986,502.614025599423,0.0703012912482066,NA,NA
"DNK",2011,NA,272.043,NA,196,NA,4004.332,NA,2787,35.1885098743267,500.359066427289,0.0703265159669896,NA,NA
"DNK",2012,NA,271.835,NA,197,NA,3938.133,NA,2767,35.2351994276516,494.902521910213,0.0711962414166968,NA,NA
"DNK",2013,NA,279.089,NA,199,NA,3943.877,NA,2766,35.4534117227864,492.784607161945,0.0719450469992769,NA,NA
"DNK",2014,NA,280.982,NA,202,NA,3945.246,NA,2791,35.7965621123516,494.595073542442,0.0723754926549624,NA,NA
"DNK",2015,NA,277.815,NA,203,NA,3980.822,NA,2829,35.7268567405843,497.888067581837,0.071756804524567,NA,NA
"DNK",2016,NA,284.101,NA,206,NA,4055.49,NA,2871,35.9574096700995,501.134578460464,0.0717520027864855,NA,NA
"DNK",2017,NA,290.112,NA,211,NA,4100.576,NA,2919,36.5874804924571,506.15571354257,0.0722850291195615,NA,NA
"DNK",2018,NA,NA,NA,NA,NA,4135.902,NA,2971,NA,512.771832930618,NA,NA,NA
"EA19",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EA19",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESP",1995,NA,984.0528,596.7,588.2,NA,24096.9358,14373.3,13858.4,14.8090726088931,348.912022854614,0.0424435721295388,NA,0.0415144747552754
"ESP",1996,NA,985.9781,607.7,585.1,NA,24467.0817,14734.1,14058.8,14.6699522746412,352.490044503034,0.0416180612854582,NA,0.0412444601299027
"ESP",1997,NA,1009.1705,626.5,603.1,NA,25415.4861,15270.8,14584.5,15.0586864301085,364.157539777679,0.0413521204017964,NA,0.0410260104251251
"ESP",1998,NA,1050.4578,649.2,624.3,NA,26657.6102,15941.9,15223.3,15.5244187444264,378.556597584537,0.0410095051664225,NA,0.0407228749396245
"ESP",1999,NA,1092.2989,671.6,642.1,NA,27953.2037,16680.6,15916.2,15.9055064784161,394.26136460328,0.0403425440745907,NA,0.0402623406831889
"ESP",2000,NA,1128.351,705.2,674.6,NA,29283.4995,17501.3,16706.5,16.6344519028237,411.952965779017,0.040379493011702,NA,0.04029414957746
"ESP",2001,NA,1125.3583,705.1,675.3,NA,30386.5408,18057.2,17244.8,16.5652546665669,423.01866381462,0.0391596307292633,NA,0.0390481359236205
"ESP",2002,NA,1155.9101,724.7,695.4,NA,31168.0587,18462.6,17672.5,16.7875641664446,426.629605596048,0.0393492714669685,NA,0.0392523263245697
"ESP",2003,NA,1232.4647,773.7,742.9,NA,32002.2281,19038.2,18238.7,17.6058378294497,432.235286606522,0.0407320697198814,NA,0.0406393461566745
"ESP",2004,NA,1272.6162,809.3,775,NA,32896.1379,19707.3,18906.9,18.0824767664089,441.140103193312,0.0409903262829972,NA,0.0410660009235157
"ESP",2005,NA,1323.6134,848.2,811.3,NA,33964.8516,20521.6,19704.4,18.5811142361086,451.287695493625,0.0411735449950265,NA,0.0413320598783721
"ESP",2006,NA,1398.1602,896.1,854.5,NA,35152.7621,21391.2,20512.3,19.2626231779379,462.399889306981,0.0416579320700263,NA,0.041891058005161
"ESP",2007,NA,1420.6386,917.2,876.2,NA,36021.7897,22058.9,21173,19.369526553019,468.056363509554,0.0413828933075143,NA,0.0415795891907575
"ESP",2008,NA,1457.1699,933.2,892.7,NA,36248.0059,22033.4,21196.1,19.4136254378994,460.953451489032,0.0421162383646048,NA,0.0423538809262302
"ESP",2009,NA,1462.0888,932.8,892.4,NA,34063.0102,20678.4,19852.5,19.2462185299849,428.155035148504,0.0449515174411283,NA,0.0451098731043021
"ESP",2010,NA,1417.2786,919.5,888.6,NA,33272.687,20209.7,19505.9,19.0840338132311,418.91881066566,0.0455554473261936,NA,0.0454979539528048
"ESP",2011,NA,1444.1785,935.8,905.5,NA,32521.6171,19701.4,19010.8,19.3746794913422,406.767704996145,0.0476308203757864,NA,0.0474991624960663
"ESP",2012,NA,1408.074,911.5,880.9,NA,30962.0369,18860.8,18248.1,18.8361717705764,390.196782934108,0.0482735188868978,NA,0.0483277485578554
"ESP",2013,NA,1382.0197,895.1,864.1,NA,30083.6063,18452.3,17802.8,18.5456103542583,382.089795179712,0.0485373087379513,NA,0.0485088579743447
"ESP",2014,NA,1392.9768,898,867.5,NA,30409.3578,18623.9,17987.7,18.6739361340191,387.205949277112,0.0482273998343312,NA,0.0482176128523027
"ESP",2015,NA,1411.249,907.8,876.4,NA,31327.8008,19135.4,18490.8,18.8838006100778,398.421474578761,0.0473965431457806,NA,0.0474408687563364
"ESP",2016,NA,1458.3947,936.7,901.1,NA,32132.5647,19615.7,18885.4,19.3994067669591,406.575914500866,0.047714107193917,NA,0.0477525655469853
"ESP",2017,NA,1496.2279,959.2,919.3,NA,32755.3963,20149.3,19387.9,19.7559277937494,416.649573014722,0.0474161719422939,NA,0.0476046314264019
"ESP",2018,NA,1524.9944,965.6,923.3,NA,33599.2349,20593.5,19816.7,19.7586242125387,424.077470413317,0.0465920158250365,NA,0.0468885813484837
"EST",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EST",1995,NA,NA,31.94,30.07,NA,1275.4006,705.64,642.66,20.765140528969,443.7953180029,0.0467899044595898,NA,0.0452638739300493
"EST",1996,NA,NA,32.18,30.08,NA,1265.4958,676.54,623.88,21.1058097109178,437.74908784732,0.0482144002051677,NA,0.0475655541431401
"EST",1997,NA,NA,32.11,29.75,NA,1252.0918,665.95,615.11,21.1593172119488,437.4893314367,0.0483653330298646,NA,0.0482168330955777
"EST",1998,NA,NA,31.22,28.47,NA,1224.0409,647.15,602.3,20.4364367238533,432.345129567152,0.0472688029221318,NA,0.0482422931314224
"EST",1999,NA,NA,28.81,25.87,NA,1193.6646,631.38,590.95,18.7572505800464,428.473027842227,0.0437769692867417,NA,0.0456302068484906
"EST",2000,NA,46.5148,26.88,24.59,NA,1164.2734,618.54,584.77,17.547991151074,417.305359309213,0.0420507207962105,NA,0.0434571733436803
"EST",2001,NA,46.9459,26.52,24.84,NA,1159.4704,616.73,587.31,17.8358584045379,421.706038629999,0.0422945292945804,NA,0.0430009890876072
