"location","year","multiplier_type","nfa_agdi_fin","nfa_agdi_gov","nfa_agdi_hh","nfa_agdi_nfc","nfa_agdi_tot","nfa_andi_fin","nfa_andi_gov","nfa_andi_hh","nfa_andi_nfc","nfa_andi_tot","nfa_cfc_fin","nfa_cfc_gov","nfa_cfc_hh","nfa_cfc_nfc","nfa_cfc_tot","nfa_gcf_fin","nfa_gcf_gov","nfa_gcf_hh","nfa_gcf_nfc","nfa_gcf_tot","nfa_gdi_fin","nfa_gdi_gov","nfa_gdi_hh","nfa_gdi_nfc","nfa_gdi_tot","nfa_gpi_fin","nfa_gpi_gov","nfa_gpi_hh","nfa_gpi_nfc","nfa_gpi_tot","nfa_gs_fin","nfa_gs_gov","nfa_gs_hh","nfa_gs_nfc","nfa_gs_tot","nfa_gva_fin","nfa_gva_gov","nfa_gva_hh","nfa_gva_nfc","nfa_gva_tot","nfa_ndi_fin","nfa_ndi_gov","nfa_ndi_hh","nfa_ndi_nfc","nfa_ndi_tot","nfa_nl_fin","nfa_nl_gov","nfa_nl_hh","nfa_nl_nfc","nfa_nl_tot"
"AUS",1972,"AIC_CONSTANT_PER_CAPITA",NA,2184.59116458031,18202.7926840249,NA,NA,NA,1679.82166987611,16616.7008569155,NA,NA,NA,504.769494704198,1586.09182710948,1535.79776513714,3681.06811762998,NA,NA,NA,NA,6466.44471340713,NA,3878.12939681251,16509.2544517927,NA,NA,402.352495778708,NA,17440.6090357714,2824.69740786461,NA,497.453994780949,550.491369224506,4120.45533177014,1908.43104247765,NA,NA,NA,NA,NA,22745.7181363627,NA,3373.35990210831,14923.1626246833,NA,NA,265.644090962988,-446.702714063407,NA,-560.09296287377,0.457218745203078
"AUS",1972,"AIC_CURRENT_PER_CAPITA",NA,474.701568218954,3955.38276139242,NA,NA,NA,365.017488831402,3610.73233440382,NA,NA,NA,109.684079387552,344.650426988604,333.721759658323,799.87909705542,NA,NA,NA,NA,1405.12856411065,NA,842.699602685887,3587.38472692549,NA,NA,87.4293386422519,NA,3789.76377557807,613.793697877082,NA,108.094455048602,119.61923150599,895.355908913607,414.69324942359,NA,NA,NA,NA,NA,4942.53947588039,NA,733.015523298335,3242.73429993689,NA,NA,57.7232338081231,-97.0664361971365,NA,-121.705613450862,0.0993515211843771
"AUS",1972,"CURRENT_LCU_MILLIONS",NA,4778,39812,NA,NA,NA,3674,36343,NA,NA,NA,1104,3469,3359,8051,NA,NA,NA,NA,14143,NA,8482,36108,NA,NA,880,NA,38145,6178,NA,1088,1204,9012,4174,NA,NA,NA,NA,NA,49748,NA,7378,32639,NA,NA,581,-977,NA,-1225,1
"AUS",1972,"GDP_CONSTANT_PER_CAPITA",NA,2164.94990471327,18039.1347020605,NA,NA,NA,1664.71870027555,16467.3031366669,NA,NA,NA,500.231204437726,1571.83156539354,1521.98968813978,3647.97230700012,NA,NA,NA,NA,6408.3060909083,NA,3843.26184423985,16360.8227625339,NA,NA,398.735018030072,NA,17283.8037076785,2799.30106976112,NA,492.981476837179,545.542001941143,4083.40907100796,1891.27268779263,NA,NA,NA,NA,NA,22541.215542,NA,3343.03063980212,14788.9911971403,NA,NA,263.255733494854,-442.686491608386,NA,-555.057269416861,0.453107975034172
"AUS",1972,"GDP_CURRENT_PER_CAPITA",NA,499.011527134719,4157.94200885045,NA,NA,NA,383.710412451435,3795.64167657118,NA,NA,NA,115.301114683284,362.300332279268,350.811996577129,840.841733981085,NA,NA,NA,NA,1477.08665304863,NA,885.855122050374,3771.09841393479,NA,NA,91.9066856171102,NA,3983.84150325531,645.226708798304,NA,113.6300840357,125.745056230683,941.208012251588,435.93012018843,NA,NA,NA,NA,NA,5195.652041,NA,770.55400736709,3408.79808165552,NA,NA,60.6793003903876,-102.037308918087,NA,-127.938283955636,0.104439415473989
"AUS",1973,"AIC_CONSTANT_PER_CAPITA",NA,2471.41599918376,19390.4029656159,NA,NA,NA,1951.7910923523,17692.8283661442,NA,NA,NA,519.624906831455,1697.57459947168,1547.68279942415,3824.03960281271,NA,NA,NA,NA,7375.47598527231,NA,4286.9054813595,17574.9134834402,NA,NA,364.936569182399,NA,18744.4692352777,2666.47519497895,NA,448.076554275431,801.021779454027,4675.02531561592,1711.56450080945,NA,NA,NA,NA,NA,24091.4095265734,NA,3767.28057452805,15877.3388839685,NA,NA,232.632073673774,-199.45602192992,NA,-1234.70872092489,-0.279798026755399
"AUS",1973,"AIC_CURRENT_PER_CAPITA",NA,566.349786393101,4443.50549696195,NA,NA,NA,447.272522554991,4054.48923579237,NA,NA,NA,119.077263838109,389.016261169578,354.667050447046,876.317063953226,NA,NA,NA,NA,1690.16436333907,NA,982.387426664403,4027.46785669064,NA,NA,83.6288783724569,NA,4295.48329822165,611.049559280022,NA,102.681240586554,183.562182101209,1071.32898296195,392.222187503681,NA,NA,NA,NA,NA,5520.7883431158,NA,863.310162826294,3638.45159552106,NA,NA,53.309975041369,-45.707349734782,NA,-282.9458984584,-0.0641185266820589
"AUS",1973,"CURRENT_LCU_MILLIONS",NA,6183,48511,NA,NA,NA,4883,44264,NA,NA,NA,1300,4247,3872,9567,NA,NA,NA,NA,18452,NA,10725,43969,NA,NA,913,NA,46895,6671,NA,1121,2004,11696,4282,NA,NA,NA,NA,NA,60272,NA,9425,39722,NA,NA,582,-499,NA,-3089,-0.7
"AUS",1973,"GDP_CONSTANT_PER_CAPITA",NA,2371.02041834256,18602.7125204943,NA,NA,NA,1872.50407613889,16974.0979779258,NA,NA,NA,498.516342203677,1628.61454256847,1484.81175154818,3668.69680450967,NA,NA,NA,NA,7075.86426641711,NA,4112.75982318033,16860.9731156565,NA,NA,350.111861870736,NA,17983.0183597242,2558.15578372364,NA,429.874476623324,768.482115212437,4485.11318339554,1642.03613639703,NA,NA,NA,NA,NA,23112.751521,NA,3614.24348097666,15232.358573088,NA,NA,223.181931663492,-191.353580584334,NA,-1184.55152389781,-0.26843187657121
"AUS",1973,"GDP_CURRENT_PER_CAPITA",NA,592.904591346562,4651.85098347292,NA,NA,NA,468.244075617866,4244.59466785771,NA,NA,NA,124.660515728697,407.256315615211,371.296551462702,917.4055030588,NA,NA,NA,NA,1769.41218171224,NA,1028.44925476175,4216.30632005774,NA,NA,87.5500391233077,NA,4496.88837315171,639.700231097027,NA,107.495721639899,192.168979631006,1121.56107074064,410.612560269445,NA,NA,NA,NA,NA,5779.64508,NA,903.78873903305,3809.05000444253,NA,NA,55.8095539646934,-47.8504594989382,NA,-296.212563912264,-0.0671248930846828
"AUS",1974,"AIC_CONSTANT_PER_CAPITA",NA,2306.54999882069,19498.6906127833,NA,NA,NA,1730.32716724417,18159.146689982,NA,NA,NA,576.222831576519,1339.54392280137,1603.60458712775,3585.71824209015,NA,NA,NA,NA,6336.46074032418,NA,4370.9338105079,17434.3068010961,NA,NA,490.967064325417,NA,18655.7532408571,2193.76026782701,NA,515.84715204461,401.730483039243,4232.26878828626,1348.50075438028,NA,NA,NA,NA,NA,23605.8954934678,NA,3794.71097893138,16094.7628782948,NA,NA,253.776894735773,-814.408204674931,NA,-1471.90598946748,-0.331734502922579
"AUS",1974,"AIC_CURRENT_PER_CAPITA",NA,581.949252258991,4919.57617564777,NA,NA,NA,436.566561165381,4581.60536008301,NA,NA,NA,145.382691093609,337.970815564764,404.594086785554,904.687108826036,NA,NA,NA,NA,1598.70741656824,NA,1102.79927337329,4398.72615453347,NA,NA,123.8724138276,NA,4706.90063271809,553.492076109407,NA,130.149732095891,101.357765638665,1067.81368622468,340.230650141349,NA,NA,NA,NA,NA,5955.83587537718,NA,957.416582279677,4060.75533896871,NA,NA,64.0286463365638,-205.477551315378,NA,-371.36614875207,-0.0836975769105408
"AUS",1974,"CURRENT_LCU_MILLIONS",NA,6953,58778,NA,NA,NA,5216,54740,NA,NA,NA,1737,4038,4834,10809,NA,NA,NA,NA,19101,NA,13176,52555,NA,NA,1480,NA,56237,6613,NA,1555,1211,12758,4065,NA,NA,NA,NA,NA,71159,NA,11439,48517,NA,NA,765,-2455,NA,-4437,-1
"AUS",1974,"GDP_CONSTANT_PER_CAPITA",NA,2252.83662628778,19044.6183258943,NA,NA,NA,1690.03248133425,17736.2687937571,NA,NA,NA,562.804144953527,1308.34953213721,1566.26093074574,3502.21646678334,NA,NA,NA,NA,6188.90153872039,NA,4269.1464674195,17028.3084847626,NA,NA,479.533756206804,NA,18221.3107079744,2142.67346607811,NA,503.834453311879,392.37525592327,4133.71058222055,1317.09778309504,NA,NA,NA,NA,NA,23056.177404,NA,3706.34232246597,15719.9589526254,NA,NA,247.86711047176,-795.442818572774,NA,-1437.62924073621,-0.324009294734327
"AUS",1974,"GDP_CURRENT_PER_CAPITA",NA,608.594157085737,5144.82199988285,NA,NA,NA,456.555029966807,4791.37698243539,NA,NA,NA,152.039127118931,353.445017447463,423.118676161722,946.108765128684,NA,NA,NA,NA,1671.90521997622,NA,1153.2916171094,4600.12453985919,NA,NA,129.543988564201,NA,4922.40897627364,578.834051604772,NA,136.108717714414,105.998493345438,1116.70419331222,355.808319941539,NA,NA,NA,NA,NA,6228.527488,NA,1001.25248999047,4246.67952241173,NA,NA,66.9602373321716,-214.885467516969,NA,-388.369376526595,-0.0875297220028387
"AUS",1975,"AIC_CONSTANT_PER_CAPITA",NA,2123.75100653137,19472.7348908572,NA,NA,NA,1521.10328844371,18157.2475062285,NA,NA,NA,602.647718087667,1315.48738462869,1633.56723583424,3626.39430361047,NA,NA,NA,NA,6255.38107379781,NA,4469.87390903948,17126.6119883491,NA,NA,459.795784912315,NA,18427.0473800189,2183.39097863241,NA,651.211695369943,238.275888537018,3929.70616172434,1372.85535779255,NA,NA,NA,NA,NA,23638.4449421814,NA,3867.22619095182,15811.1246037204,NA,NA,378.855822775187,-1016.71952438918,NA,-1037.16751482383,-0.34079984057738
