"location","year","multiplier_type","vaact_health_cfc","vaact_health_coe","vaact_health_coewage","vaact_health_gosmi","vaact_health_gva","vaact_health_interc","vaact_health_nosmi","vaact_health_out","vaact_health_taxsub","vaact_total_cfc","vaact_total_coe","vaact_total_coewage","vaact_total_gosmi","vaact_total_gva","vaact_total_interc","vaact_total_nosmi","vaact_total_out","vaact_total_taxsub"
"AUS",1975,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1061.57076991836,3936.01742744263,NA,2423.84648734982,NA,NA,1362.27571743146,NA,25.4149636277799
"AUS",1976,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3628.26614407838,13461.5430305276,NA,8671.83843968928,NA,NA,5043.5722956109,NA,-109.52087239664
"AUS",1976,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1047.05026869004,3884.75147284896,NA,2502.53162468039,NA,NA,1455.48135599034,NA,-31.6056910701622
"AUS",1976,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,14392,53397,NA,34398,NA,NA,20006,NA,-434.4291
"AUS",1976,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3598.32852001249,13350.4688704215,NA,8600.28518839561,NA,NA,5001.95666838312,NA,-108.617191526776
"AUS",1976,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1104.97806193434,4099.67437278405,NA,2640.98355853373,NA,NA,1536.00549659939,NA,-33.3542679937382
"AUS",1977,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3696.10146041195,13356.4548297082,NA,8504.70823287527,NA,NA,4808.60677246332,NA,34.9104806030229
"AUS",1977,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1136.10788351359,4105.50786831848,NA,2614.17771504455,NA,NA,1478.06983153096,NA,10.7307855737061
"AUS",1977,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,16193,58516,NA,37260,NA,NA,21067,NA,152.9464
"AUS",1977,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3695.62752884672,13354.7422020623,NA,8503.61771906557,NA,NA,4807.99019021885,NA,34.9060042165134
"AUS",1977,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1189.38113170841,4298.01928629958,NA,2736.75915318071,NA,NA,1547.3780214723,NA,11.2339629668824
"AUS",1978,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3718.11229087153,13065.7666512141,NA,9374.88033631264,NA,NA,5656.7680454411,NA,-32.4302316683173
"AUS",1978,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1221.55329386017,4292.64342789867,NA,3080.03499046643,NA,NA,1858.48169660626,NA,-10.6546691481971
"AUS",1978,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,17890,62867,NA,45108,NA,NA,27218,NA,-156.0407
"AUS",1978,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3719.54875059846,13070.8144943473,NA,9378.5022382334,NA,NA,5658.95348763493,NA,-32.4427608008669
"AUS",1978,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1286.83655621906,4522.05443151614,NA,3244.64077014698,NA,NA,1957.80421392792,NA,-11.2240847969822
"AUS",1979,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3843.56696210563,13074.6659381664,NA,9790.77463187937,NA,NA,5947.20766977374,NA,71.6264535334923
"AUS",1979,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1375.01378045575,4677.3858806366,NA,3502.5928188319,NA,NA,2127.57903837615,NA,25.6239481774947
"AUS",1979,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,20575,69990,NA,52411,NA,NA,31836,NA,383.4236
"AUS",1979,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3842.60629602675,13071.3980393153,NA,9788.32751305264,NA,NA,5945.72121702589,NA,71.6085511254067
"AUS",1979,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1443.37057243182,4909.91525465386,NA,3676.71908003519,NA,NA,2233.34850760337,NA,26.8978051526546
"AUS",1980,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3906.16924120669,13538.8763113067,NA,9738.98031209511,NA,NA,5832.81107088842,NA,26.1422970539019
"AUS",1980,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1546.8399482433,5361.38437416616,NA,3856.62854619426,NA,NA,2309.78859795096,NA,10.3523290786363
"AUS",1980,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,23340,80897,NA,58192,NA,NA,34852,NA,156.2045
"AUS",1980,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3924.82157614507,13603.5257517313,NA,9785.48488256359,NA,NA,5860.66330641851,NA,26.2671290441711
"AUS",1980,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1602.92962742841,5555.79254798954,NA,3996.4730453862,NA,NA,2393.54341795779,NA,10.7277129814756
"AUS",1981,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.38970810176,14156.261520905,NA,9684.84629406053,NA,NA,5627.45658595877,NA,14.0860598188389
"AUS",1981,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1751.37073596101,6110.54494194081,NA,4180.46024709654,NA,NA,2429.08951113553,NA,6.080242403743
"AUS",1981,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,26881,93788,NA,64164,NA,NA,37283,NA,93.3229
"AUS",1981,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4015.02811540323,14008.4616229842,NA,9583.73066466028,NA,NA,5568.70254925705,NA,13.9389928689768
"AUS",1981,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1825.04833335493,6367.6066027563,NA,4356.3260764624,NA,NA,2531.27774310747,NA,6.33602928123391
"AUS",1982,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4085.3033605829,13918.1597442023,NA,8947.61802591142,NA,NA,4862.31466532852,NA,350.850339743337
"AUS",1982,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1862.87031083957,6346.58537702753,NA,4080.05244702931,NA,NA,2217.18213618974,NA,159.985348398358
"AUS",1982,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,30500,103910,NA,66801,NA,NA,36301,NA,2619.3735
"AUS",1982,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.45367028447,13847.1272419429,NA,8901.95310257945,NA,NA,4837.49943229497,NA,349.059745440029
"AUS",1982,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1928.04603668117,6568.63159578821,NA,4222.80010807668,NA,NA,2294.75407139551,NA,165.582711320088
"AUS",1983,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4178.03172236831,13569.5365098141,NA,10194.5454285033,NA,NA,6016.51370613499,NA,395.219634053831
"AUS",1983,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.07594570363,6450.43691559438,NA,4846.09567336081,NA,NA,2860.01972765718,NA,187.87224717843
"AUS",1983,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,33870,110004,NA,82644,NA,NA,48774,NA,3203.9223
"AUS",1983,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4127.61444097672,13405.789753918,NA,10071.5254756445,NA,NA,5943.9110346678,NA,390.450426727114
"AUS",1983,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022.27465839257,6568.00417838253,NA,4934.42181482715,NA,NA,2912.14715643458,NA,191.296453343633
"AUS",1984,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4250.30253323081,13901.6505517505,NA,10442.7567174237,NA,NA,6192.45418419287,NA,184.780164566786
"AUS",1984,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2100.09439942486,6868.8706834948,NA,5159.81503089556,NA,NA,3059.7206314707,NA,91.3007452287251
"AUS",1984,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,36987,120975,NA,90875,NA,NA,53888,NA,1607.9947
"AUS",1984,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4256.67629213648,13922.4974840136,NA,10458.4166882392,NA,NA,6201.7403961027,NA,185.057261128805
"AUS",1984,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2135.03818662861,6983.16285796081,NA,5245.66997079718,NA,NA,3110.63178416856,NA,92.8199120879341
"AUS",1985,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4489.08146891197,14067.4308248375,NA,10688.85809923,NA,NA,6199.77663031807,NA,135.297464691839
"AUS",1985,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2297.17524985685,7198.65614907685,NA,5469.75599458979,NA,NA,3172.58074473294,NA,69.2350961796655
"AUS",1985,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,42461,133060,NA,101103,NA,NA,58642,NA,1279.7419
"AUS",1985,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4529.54284844465,14194.2246158603,NA,10785.1998447116,NA,NA,6255.65699626695,NA,136.516939568073
"AUS",1985,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2361.09800809541,7398.9708428246,NA,5621.96113875016,NA,NA,3260.86313065474,NA,71.1616789752064
"AUS",1986,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4727.28485385613,13940.4136968601,NA,10879.0129562491,NA,NA,6151.728102393,NA,404.426638925723
"AUS",1986,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2473.30696474933,7293.59946646877,NA,5691.8800846834,NA,NA,3218.57311993406,NA,211.595292796713
"AUS",1986,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,49027,144577,NA,112827,NA,NA,63800,NA,4194.3368
"AUS",1986,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4815.405789441,14200.275823934,NA,11081.8077590972,NA,NA,6266.40196965622,NA,411.965523274633
"AUS",1986,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2565.75674318677,7566.22703122185,NA,5904.63695644305,NA,NA,3338.88021325628,NA,219.504516445967
"AUS",1987,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4854.00910250278,14159.5305712206,NA,11792.7357552493,NA,NA,6938.72665274647,NA,506.869715642419
"AUS",1987,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2622.08772637532,7648.83842160294,NA,6370.31926212972,NA,NA,3748.2315357544,NA,273.806009051788
"AUS",1987,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,54498,158975,NA,132402,NA,NA,77904,NA,5690.8393
"AUS",1987,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4917.2517844191,14344.0145037988,NA,11946.3828169962,NA,NA,7029.13103257708,NA,513.473700003071
"AUS",1987,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2694.14004662675,7859.02076979865,NA,6545.36919618104,NA,NA,3851.2291495543,NA,281.329921410828
"AUS",1988,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4980.28947748211,14602.6590364833,NA,12540.2062088179,NA,NA,7559.91673133582,NA,723.864861870925
